household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,lowest_quintile,1999,10900.0,14100.0,25000.0,8000.0,1000.0,31900.0
all_households,lowest_quintile,2000,10200.0,13700.0,23900.0,8200.0,1000.0,31000.0
all_households,lowest_quintile,2001,9900.0,13500.0,23400.0,8700.0,800.0,31200.0
all_households,lowest_quintile,2002,9300.0,14300.0,23600.0,9000.0,700.0,31800.0
all_households,lowest_quintile,2003,8800.0,14600.0,23400.0,9400.0,800.0,32100.0
all_households,lowest_quintile,2004,9100.0,14400.0,23500.0,9600.0,700.0,32500.0
all_households,lowest_quintile,2005,9600.0,14500.0,24100.0,9700.0,700.0,33100.0
all_households,lowest_quintile,2006,10300.0,15300.0,25600.0,9700.0,800.0,34500.0
all_households,lowest_quintile,2007,11800.0,14600.0,26400.0,9600.0,700.0,35300.0
all_households,lowest_quintile,2008,10700.0,16000.0,26700.0,9900.0,-100.0,36700.0
all_households,lowest_quintile,2009,9200.0,18000.0,27200.0,11100.0,-0.0,38300.0
all_households,lowest_quintile,2010,9000.0,17400.0,26400.0,11400.0,-0.0,37800.0
all_households,lowest_quintile,2011,9100.0,17300.0,26400.0,10900.0,100.0,37300.0
all_households,lowest_quintile,2012,8500.0,17400.0,26000.0,11100.0,100.0,36900.0
all_households,lowest_quintile,2013,9400.0,17000.0,26400.0,11300.0,300.0,37300.0
all_households,lowest_quintile,2014,9000.0,16600.0,25600.0,12600.0,200.0,37900.0
all_households,lowest_quintile,2015,9500.0,17600.0,27100.0,12900.0,100.0,39800.0
all_households,lowest_quintile,2016,9400.0,17900.0,27300.0,12900.0,100.0,40100.0
all_households,lowest_quintile,2017,9400.0,18100.0,27500.0,12800.0,-0.0,40300.0
all_households,lowest_quintile,2018,10000.0,17800.0,27800.0,12900.0,-100.0,40800.0
all_households,lowest_quintile,2019,11000.0,18900.0,29900.0,12700.0,-0.0,42600.0
all_households,second_quintile,1979,35300.0,5000.0,40300.0,1200.0,6200.0,35300.0
all_households,second_quintile,1980,33200.0,5700.0,38800.0,1300.0,5700.0,34400.0
all_households,second_quintile,1981,32600.0,6000.0,38600.0,1400.0,5800.0,34200.0
all_households,second_quintile,1982,31100.0,6900.0,38000.0,1300.0,5200.0,34100.0
all_households,second_quintile,1983,30000.0,7200.0,37200.0,1100.0,5100.0,33300.0
all_households,second_quintile,1984,32700.0,6800.0,39500.0,1200.0,5800.0,34900.0
all_households,second_quintile,1985,32700.0,6900.0,39600.0,1100.0,5800.0,34900.0
all_households,second_quintile,1986,32600.0,7600.0,40200.0,1200.0,5800.0,35600.0
all_households,second_quintile,1987,31800.0,7500.0,39300.0,1100.0,5400.0,34900.0
all_households,second_quintile,1988,32400.0,7400.0,39800.0,1100.0,5600.0,35300.0
all_households,second_quintile,1989,32800.0,7700.0,40500.0,1200.0,5400.0,36300.0
all_households,second_quintile,1990,33800.0,7900.0,41700.0,1400.0,5900.0,37200.0
all_households,second_quintile,1991,32400.0,8400.0,40800.0,1800.0,5500.0,37200.0
all_households,second_quintile,1992,31500.0,9000.0,40500.0,2200.0,5200.0,37500.0
all_households,second_quintile,1993,31700.0,9300.0,41000.0,2500.0,5300.0,38300.0
all_households,second_quintile,1994,32100.0,9100.0,41200.0,2500.0,5100.0,38600.0
all_households,second_quintile,1995,34200.0,9100.0,43400.0,2600.0,5500.0,40400.0
all_households,second_quintile,1996,34300.0,9300.0,43500.0,2500.0,5400.0,40600.0
all_households,second_quintile,1997,35500.0,9000.0,44500.0,2400.0,5800.0,41200.0
all_households,second_quintile,1998,37400.0,8700.0,46100.0,2800.0,5800.0,43100.0
all_households,second_quintile,1999,38900.0,8500.0,47400.0,2800.0,6100.0,44200.0
all_households,second_quintile,2000,38600.0,8200.0,46800.0,3000.0,5900.0,43900.0
